regione_residenza,amministrazione,sesso,modalita_autenticazione,numero,fascia di età
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,F,SPID,2,25-34
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,M,SPID,3,25-34
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,SPID,3,35-44
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,SPID,2,45-54
ABRUZZO,AGENZIA DEL DEMANIO,F,SPID,3,35-44
ABRUZZO,AGENZIA DEL DEMANIO,F,CIE,2,45-54
ABRUZZO,AGENZIA DEL DEMANIO,F,SPID,10,45-54
ABRUZZO,AGENZIA DEL DEMANIO,M,SPID,8,35-44
ABRUZZO,AGENZIA DEL DEMANIO,M,SPID,9,45-54
ABRUZZO,AGENZIA DEL DEMANIO,M,SPID,6,55-64
ABRUZZO,AGENZIA DELLE DOGANE,F,SPID,5,65- 
ABRUZZO,AGENZIA DELLE DOGANE,F,SPID,7,25-34
ABRUZZO,AGENZIA DELLE DOGANE,F,SPID,19,35-44
ABRUZZO,AGENZIA DELLE DOGANE,F,SPID,18,45-54
ABRUZZO,AGENZIA DELLE DOGANE,F,CIE,3,55-64
ABRUZZO,AGENZIA DELLE DOGANE,F,SPID,31,55-64
ABRUZZO,AGENZIA DELLE DOGANE,M,SPID,5,65- 
ABRUZZO,AGENZIA DELLE DOGANE,M,SPID,22,25-34
ABRUZZO,AGENZIA DELLE DOGANE,M,SPID,17,35-44
ABRUZZO,AGENZIA DELLE DOGANE,M,CIE,2,45-54
ABRUZZO,AGENZIA DELLE DOGANE,M,SPID,34,45-54
ABRUZZO,AGENZIA DELLE DOGANE,M,CIE,5,55-64
ABRUZZO,AGENZIA DELLE DOGANE,M,SPID,33,55-64
ABRUZZO,AGENZIA DELLE ENTRATE,F,CNS,4,65- 
ABRUZZO,AGENZIA DELLE ENTRATE,F,SPID,31,65- 
ABRUZZO,AGENZIA DELLE ENTRATE,F,SPID,65,25-34
ABRUZZO,AGENZIA DELLE ENTRATE,F,CIE,2,35-44
ABRUZZO,AGENZIA DELLE ENTRATE,F,CNS,2,35-44
ABRUZZO,AGENZIA DELLE ENTRATE,F,SPID,76,35-44
ABRUZZO,AGENZIA DELLE ENTRATE,F,CIE,4,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,F,CNS,5,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,F,SPID,126,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,F,CIE,12,55-64
ABRUZZO,AGENZIA DELLE ENTRATE,F,CNS,25,55-64
ABRUZZO,AGENZIA DELLE ENTRATE,F,SPID,146,55-64
ABRUZZO,AGENZIA DELLE ENTRATE,M,CIE,6,65- 
ABRUZZO,AGENZIA DELLE ENTRATE,M,CNS,9,65- 
ABRUZZO,AGENZIA DELLE ENTRATE,M,SPID,42,65- 
ABRUZZO,AGENZIA DELLE ENTRATE,M,CIE,3,25-34
ABRUZZO,AGENZIA DELLE ENTRATE,M,SPID,61,25-34
ABRUZZO,AGENZIA DELLE ENTRATE,M,CIE,5,35-44
ABRUZZO,AGENZIA DELLE ENTRATE,M,SPID,94,35-44
ABRUZZO,AGENZIA DELLE ENTRATE,M,CIE,8,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,M,CNS,5,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,M,SPID,106,45-54
ABRUZZO,AGENZIA DELLE ENTRATE,M,CIE,17,55-64
ABRUZZO,AGENZIA DELLE ENTRATE,M,CNS,16,55-64
